"128","40153.jpg","Marmara","Barber Cologne#4 16.9oz","#40153","$3.53","<\#13>each","Code BH","Minimum 9 pcs<\#13>","new_icon.jpg"
"129","54507.jpg","Miss Jessie's","Crème De La Curl 12oz","#54507","$7.15","<\#13>each","Code BH","Minimum 6 pcs<\#13>","new_icon.jpg"
"130","54422.jpg","Miss Jessie's","Promotion Red Bags ","#54422","$0.00","<\#13>each","Code BH","Minimum 25/200 pcs<\#13>","new_icon.jpg"
"131","44850.jpg","Noughty","Intensive Care Leave-In Conditioner Packet .17oz ","#44850","$0.00","<\#13>each","Code BH","Minimum 250 pcs<\#13>","new_icon.jpg"
"132","44851.jpg","Noughty","To The Rescue Shampoo/Condition Packet .34oz ","#44851","$0.00","<\#13>each","Code BH","Minimum 250 pcs<\#13>","new_icon.jpg"
"133","68669.jpg","Omic","LightenUp Plus Clarifying Gel 30g","#68669","$3.25","<\#13>each","Code BH","Minimum 240 pcs<\#13>","new_icon.jpg"
"134","68681.jpg","Omic","Lavender Oil Shea Lotion 16oz","#68681","$6.58","<\#13>each","Code BH","Minimum 24 pcs<\#13>","new_icon.jpg"
"135","10813.jpg","Palmer's","Coconut Oil Bar Soap 3.5oz","#10813","$2.15","<\#13>each","Code BH","Minimum 6 pcs<\#13>","new_icon.jpg"
"136","10809.jpg","Palmer's","Coconut Oil Body Lotion 8.5oz","#10809","$4.05","<\#13>each","Code BH","Minimum 3/6 pcs<\#13>","new_icon.jpg"
"137","10805.jpg","Palmer's","Coconut Oil Body Lotion 13.5oz","#10805","$5.24","<\#13>each","Code BH","Minimum 6 pcs<\#13>","new_icon.jpg"
"138","10811.jpg","Palmer's","Coconut Oil Swivel Stick .5oz","#10811","$2.22","<\#13>each","Code BH","Minimum 6/12 pcs<\#13>","new_icon.jpg"
"139","10650.jpg","Palmer's","Raw Shea Body Lotion 33.8oz","#10650","$10.20","<\#13>each","Code BH","Minimum 2 pcs<\#13>","new_icon.jpg"
"140","69100.jpg","*Sparks","Bright Hair Color 84pc Display ","#69100","$229.88","display<\#13>($0.00 each)","Code BH","Minimum 1 pcs<\#13>*Order as 1 unit<\#13>","new_icon.jpg"
"141","69111.jpg","*Sparks","Lightening Duo Display Box 24pcs ","#69111","$48.36","display<\#13>($0.00 each)","Code BH","Minimum 1/4 pcs<\#13>*Order as 1 unit<\#13>","new_icon.jpg"
"142","87468.jpg","Softee","Thickening Grow Oil 4oz","#87468","$2.54","<\#13>each","Code BH","Minimum 12 pcs<\#13>","new_icon.jpg"
"143","88487.jpg","Topiclear","Papaya Cream Tube 1.76oz","#88487","$2.13","<\#13>each","Code BH","Minimum 12/144 pcs<\#13>","new_icon.jpg"
"144","43538.jpg","Ultra Sheen","Original Formula Conditioner & Hair Dress 2oz","#43538","$1.01","<\#13>each","Code BH","Minimum 6 pcs<\#13>","new_icon.jpg"
"145","43539.jpg","Ultra Sheen","Original Formula Conditioner & Hair Dress 8oz","#43539","$2.24","<\#13>each","Code BH","Minimum 6 pcs<\#13>","new_icon.jpg"
"146","82376.jpg","*Via Natural","Oil Vitamin E 1.5oz 24pc Display ","#82376","$14.73","display<\#13>($0.00 each)","Code BH","Minimum 1 pcs<\#13>*Order as 1 unit<\#13>","new_icon.jpg"
"147","82396.jpg","*Via Naturals","Black Castor Oil 1.5oz 24pc Display ","#82396","$14.73","display<\#13>($0.00 each)","Code BH","Minimum 1 pcs<\#13>*Order as 1 unit<\#13>","new_icon.jpg"
"148","93143.jpg","Vitale","Olive Hair Mayo 4lb","#93143","$7.63","<\#13>each","Code BH","Minimum 6 pcs<\#13>","new_icon.jpg"
"149","18049.jpg","Wella","Paints Tray Empty ","#18049","$0.00","<\#13>each","Code BH","Minimum 1 pcs<\#13>","new_icon.jpg"
"150","28404.jpg","Xtreme","Professional Styling Gel Jar Green 8.8oz","#28404","$0.84","<\#13>each","Code BH","Minimum 24 pcs<\#13>","new_icon.jpg"
"151","28405.jpg","Xtreme","Professional Styling Gel Jar Green 35.26oz","#28405","$2.88","<\#13>each","Code BH","Minimum 6 pcs<\#13>","new_icon.jpg"
"081","default_link.jpg","Manufac","Name","Child","$0.00","<\#13>each","Code BH","*Note","bonus_icon.jpg"
